,pokedex_number,name,german_name,japanese_name,generation,is_sub_legendary,is_legendary,is_mythical,species,type_number,type_1,type_2,height_m,weight_kg,abilities_number,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,growth_rate,egg_type_number,egg_type_1,egg_type_2,percentage_male,egg_cycles,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy,description
209,169,Crobat,Iksbat,クロバット (Crobat),2,0,0,0,Bat Pokémon,2,Poison,Flying,1.8,75.0,2,Inner Focus,,Infiltrator,535,85,90,80,70,80,130,90,70,241,Medium Fast,1,Flying,,50.0,15,1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,0.5,"The transformation of its legs into wings made it better at flying, but more clumsy at walking."
210,170,Chinchou,Lampi,チョンチー (Chonchie),2,0,0,0,Angler Pokémon,2,Water,Electric,0.5,12.0,3,Volt Absorb,Illuminate,Water Absorb,330,75,38,38,56,56,67,190,70,66,Slow,1,Water 2,,50.0,20,1,0.5,0.5,0,2,0.5,1,1,2,0.5,1,1,1,1,1,1,0.25,1,"It discharges positive and negative electricity from its antenna tips to shock its foes."
211,171,Lanturn,Lanturn,ランターン (Lantern),2,0,0,0,Light Pokémon,2,Water,Electric,1.2,22.5,3,Volt Absorb,Illuminate,Water Absorb,460,125,58,58,76,76,67,75,70,161,Slow,1,Water 2,,50.0,20,1,0.5,0.5,0,2,0.5,1,1,2,0.5,1,1,1,1,1,1,0.25,1,"Lanturn’s light can shine up from great depths. It is nicknamed “The Deep-Sea Star.”"
212,172,Pichu,Pichu,ピチュー (Pichu),2,0,0,0,Tiny Mouse Pokémon,1,Electric,,0.3,2.0,2,Static,,Lightning Rod,205,20,40,15,35,35,60,190,70,41,Medium Fast,1,Undiscovered,,50.0,10,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,"The electric sacs in its cheeks are small. If even a little electricity leaks, it becomes shocked."
213,173,Cleffa,Pii,ピィ (Py),2,0,0,0,Star Shape Pokémon,1,Fairy,,0.3,3.0,3,Cute Charm,Magic Guard,Friend Guard,218,50,25,28,45,55,15,150,140,44,Fast,1,Undiscovered,,25.0,10,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1,"It is often seen when shooting stars fill the night skies. It’s said to arrive riding on a shooting star."
214,174,Igglybuff,Fluffeluff,ププリン (Pupurin),2,0,0,0,Balloon Pokémon,2,Normal,Fairy,0.3,1.0,3,Cute Charm,Competitive,Friend Guard,210,90,30,15,40,20,15,170,70,42,Fast,1,Undiscovered,,25.0,10,1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1,"It has a soft and bouncy body. Once it starts bouncing, it becomes impossible to stop."
215,175,Togepi,Togepi,トゲピー (Togepy),2,0,0,0,Spike Ball Pokémon,1,Fairy,,0.3,1.5,3,Hustle,Serene Grace,Super Luck,245,35,20,65,40,65,20,190,70,49,Fast,1,Undiscovered,,87.5,10,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1,"It transforms the kindness and joy of others into happiness, which it stores in its shell."
216,176,Togetic,Togetic,トゲチック (Togechick),2,0,0,0,Happiness Pokémon,2,Fairy,Flying,0.6,3.2,3,Hustle,Serene Grace,Super Luck,405,55,40,85,80,105,40,75,70,142,Fast,2,Fairy,Flying,87.5,10,1,1,1,2,0.5,2,0.25,2,0,1,1,0.25,2,1,0,0.5,2,1,"To share its happiness, it flies around the world seeking kind- hearted people."
217,177,Natu,Natu,ネイティ (Naty),2,0,0,0,Tiny Bird Pokémon,2,Psychic,Flying,0.2,2.0,3,Synchronize,Early Bird,Magic Bounce,320,40,50,45,70,45,70,190,70,64,Medium Fast,1,Flying,,50.0,20,1,1,1,2,0.5,2,0.25,1,0,1,0.5,1,2,2,1,2,1,1,"It picks food from cactus plants, deftly avoiding buds and spines. It seems to skip about to move."
218,178,Xatu,Xatu,ネイティオ (Natio),2,0,0,0,Mystic Pokémon,2,Psychic,Flying,1.5,15.0,3,Synchronize,Early Bird,Magic Bounce,470,65,75,70,95,70,95,75,70,165,Medium Fast,1,Flying,,50.0,20,1,1,1,2,0.5,2,0.25,1,0,1,0.5,1,2,2,1,2,1,1,"This odd Pokémon can see both the past and the future. It eyes the sun’s movement all day."
219,179,Mareep,Voltilamm,メリープ (Merriep),2,0,0,0,Wool Pokémon,1,Electric,,0.6,7.8,2,Static,,Plus,280,55,40,40,65,45,35,235,70,56,Medium Slow,2,Field,Monster,50.0,20,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,"Its fluffy coat swells to double when static electricity builds up. Touching it can be shocking."
220,180,Flaaffy,Waaty,モココ (Mokoko),2,0,0,0,Wool Pokémon,1,Electric,,0.8,13.3,2,Static,,Plus,365,70,55,55,80,60,45,120,70,128,Medium Slow,2,Field,Monster,50.0,20,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,"If its coat becomes fully charged with electricity, its tail lights up. It fires hair that zaps on impact."
221,181,Ampharos,Ampharos,デンリュウ (Denryu),2,0,0,0,Light Pokémon,1,Electric,,1.4,61.5,2,Static,,Plus,510,90,75,85,115,90,55,45,70,230,Medium Slow,2,Field,Monster,50.0,20,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,"The tip of its tail shines brightly. In the olden days, people sent signals using the tail’s light."
223,182,Bellossom,Blubella,キレイハナ (Kireihana),2,0,0,0,Flower Pokémon,1,Grass,,0.4,5.8,2,Chlorophyll,,Healer,490,75,80,95,90,100,50,45,70,221,Medium Slow,1,Grass,,50.0,20,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,"When the heavy rainfall season ends, it is drawn out by warm sunlight to dance in the open."
224,183,Marill,Marill,マリル (Maril),2,0,0,0,Aqua Mouse Pokémon,2,Water,Fairy,0.4,8.5,3,Thick Fat,Huge Power,Sap Sipper,250,70,20,50,20,50,40,190,70,88,Fast,2,Fairy,Water 1,50.0,10,1,0.25,0.5,2,2,0.25,0.5,2,1,1,1,0.5,1,1,0,0.5,1,1,"The oil-filled end of its tail floats on water. It keeps Marill from drowning even in a strong current."
225,184,Azumarill,Azumarill,マリルリ (Marilli),2,0,0,0,Aqua Rabbit Pokémon,2,Water,Fairy,0.8,28.5,3,Thick Fat,Huge Power,Sap Sipper,420,100,50,80,60,80,50,75,70,189,Fast,2,Fairy,Water 1,50.0,10,1,0.25,0.5,2,2,0.25,0.5,2,1,1,1,0.5,1,1,0,0.5,1,1,"It can spend all day in water, since it can inhale and store a large volume of air."
226,185,Sudowoodo,Mogelbaum,ウソッキー (Usokkie),2,0,0,0,Imitation Pokémon,1,Rock,,1.2,38.0,3,Sturdy,Rock Head,Rattled,410,70,100,115,30,65,30,65,70,144,Medium Fast,1,Mineral,,50.0,20,0.5,0.5,2,1,2,1,2,0.5,2,0.5,1,1,1,1,1,1,2,1,"To avoid being attacked, it does nothing but mimic a tree. It hates water and flees from rain."
227,186,Politoed,Quaxo,ニョロトノ (Nyorotono),2,0,0,0,Frog Pokémon,1,Water,,1.1,33.9,3,Water Absorb,Damp,Drizzle,500,90,75,75,90,100,70,45,70,225,Medium Slow,1,Water 1,,50.0,20,1,0.5,0,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,"It gathers groups of others as their leader. Its cries make Poliwag obey."
228,187,Hoppip,Hoppspross,ハネッコ (Hanecco),2,0,0,0,Cottonweed Pokémon,2,Grass,Flying,0.4,0.5,3,Chlorophyll,Leaf Guard,Infiltrator,250,35,35,40,35,55,50,255,70,50,Medium Slow,2,Fairy,Grass,50.0,20,1,2,0.5,1,0.25,4,0.5,2,0,2,1,1,2,1,1,1,1,1,"It drifts on winds. It is said that when Hoppip gather in fields and mountains, spring is on the way."
229,188,Skiploom,Hubelupf,ポポッコ (Popocco),2,0,0,0,Cottonweed Pokémon,2,Grass,Flying,0.6,1.0,3,Chlorophyll,Leaf Guard,Infiltrator,340,55,45,50,45,65,80,120,70,119,Medium Slow,2,Fairy,Grass,50.0,20,1,2,0.5,1,0.25,4,0.5,2,0,2,1,1,2,1,1,1,1,1,"It blooms when the weather warms. It floats in the sky to soak up as much sunlight as possible."
230,189,Jumpluff,Papungha,ワタッコ (Watacco),2,0,0,0,Cottonweed Pokémon,2,Grass,Flying,0.8,3.0,3,Chlorophyll,Leaf Guard,Infiltrator,460,75,55,70,55,95,110,45,70,207,Medium Slow,2,Fairy,Grass,50.0,20,1,2,0.5,1,0.25,4,0.5,2,0,2,1,1,2,1,1,1,1,1,"Blown by seasonal winds, it circles the globe, scattering cotton spores as it goes."
231,190,Aipom,Griffel,エイパム (Eipam),2,0,0,0,Long Tail Pokémon,1,Normal,,0.8,11.5,3,Run Away,Pickup,Skill Link,360,55,70,55,40,55,85,45,70,72,Fast,1,Field,,50.0,20,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,"It lives high among the treetops. It can use its tail as freely and cleverly as its hands."
232,191,Sunkern,Sonnkern,ヒマナッツ (Himanuts),2,0,0,0,Seed Pokémon,1,Grass,,0.3,1.8,3,Chlorophyll,Solar Power,Early Bird,180,30,30,30,30,30,30,235,70,36,Medium Slow,1,Grass,,50.0,20,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,"It suddenly falls out of the sky in the morning. A year after a cold summer, their population explodes."
233,192,Sunflora,Sonnflora,キマワリ (Kimawari),2,0,0,0,Sun Pokémon,1,Grass,,0.8,8.5,3,Chlorophyll,Solar Power,Early Bird,425,75,75,55,105,85,30,120,70,149,Medium Slow,1,Grass,,50.0,20,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,"It gets energy from warm sunlight and is known for its habit of moving in pursuit of it."
234,193,Yanma,Yanma,ヤンヤンマ (Yanyanma),2,0,0,0,Clear Wing Pokémon,2,Bug,Flying,1.2,38.0,3,Speed Boost,Compound Eyes,Frisk,390,65,65,45,75,45,95,75,70,78,Medium Fast,1,Bug,,50.0,20,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1,"It can hover in one spot by flapping its wings at high speed. It flits about to guard its territory."
235,194,Wooper,Felino,ウパー (Upah),2,0,0,0,Water Fish Pokémon,2,Water,Ground,0.4,8.5,3,Damp,Water Absorb,Unaware,210,55,45,45,25,25,15,255,70,42,Medium Fast,2,Field,Water 1,50.0,20,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1,"When walking on land, it covers its body with a poisonous film that keeps its skin from dehydrating."
236,195,Quagsire,Morlord,ヌオー (Nuoh),2,0,0,0,Water Fish Pokémon,2,Water,Ground,1.4,75.0,3,Damp,Water Absorb,Unaware,430,95,85,85,65,65,35,90,70,151,Medium Fast,2,Field,Water 1,50.0,20,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1,"It has an easygoing nature. It doesn’t care if it bumps its head on boats and boulders while swimming."
237,196,Espeon,Psiana,エーフィ (Eifie),2,0,0,0,Sun Pokémon,1,Psychic,,0.9,26.5,2,Synchronize,,Magic Bounce,525,65,65,60,130,95,110,45,70,184,Medium Fast,1,Field,,87.5,35,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,"Its fur is so sensitive, it can sense minute shifts in the air and predict the weather."
238,197,Umbreon,Nachtara,ブラッキー (Blacky),2,0,0,0,Moonlight Pokémon,1,Dark,,1.0,27.0,2,Synchronize,,Inner Focus,525,95,65,110,60,130,65,45,35,184,Medium Fast,1,Field,,87.5,35,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2,"When exposed to the moon’s aura, the rings on its body glow faintly and it gains a mysterious power."
239,198,Murkrow,Laschoking,ヤドキング (Yadoking),2,0,0,0,Royal Pokémon,2,Water,Psychic,2.0,79.5,3,Oblivious,Own Tempo,Regenerator,490.0,95.0,75.0,80.0,100.0,110.0,30.0,70.0,70.0,172.0,Medium Fast,2,Monster,Water 1,50.0,20.0,1,0.5,0.5,2,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,1,"If spotted, it will lure an unwary person into chasing it, then lose the pursuer on mountain trails."
240,199,Slowking,Laschoking,ヤドキング (Yadoking),2,0,0,0,,0,,,,,1,,,Regenerator,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,"Being bitten by Shellder gave it intelligence comparable to that of award-winning scientists."
241,200,Misdreavus,Traunfugil,ムウマ (Muma),2,0,0,0,Screech Pokémon,1,Ghost,,0.7,1.0,1,Levitate,,,435,60,60,60,85,85,85,45,35,87,Fast,1,Amorphous,,50.0,25,0,1,1,1,1,1,0,0.5,0,1,1,0.5,1,2,1,2,1,1,"A Pokémon that startles people in the middle of the night. It gathers fear as its energy."
242,201,Unown,Icognito,アンノーン (Unknown),2,0,0,0,Symbol Pokémon,1,Psychic,,0.5,5.0,1,Levitate,,,336,48,72,48,72,48,48,225,70,118,Medium Fast,1,Undiscovered,,,40,1,1,1,1,1,1,0.5,1,0,1,0.5,2,1,2,1,2,1,1,"When alone, nothing happens. However, if there are two or more, an odd power is said to emerge."
243,202,Wobbuffet,Woingenau,ソーナンス (Sonans),2,0,0,0,Patient Pokémon,1,Psychic,,1.3,28.5,2,Shadow Tag,,Telepathy,405,190,33,58,33,58,33,45,70,142,Medium Fast,1,Amorphous,,50.0,20,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,"It desperately tries to keep its black tail hidden. It is said to be proof the tail hides a secret."
244,203,Girafarig,Girafarig,キリンリキ (Kirinriki),2,0,0,0,Long Neck Pokémon,2,Normal,Psychic,1.5,41.5,3,Inner Focus,Early Bird,Sap Sipper,455,70,80,65,90,65,85,60,70,159,Medium Fast,1,Field,,50.0,20,1,1,1,1,1,1,1,1,1,1,0.5,2,1,0,1,2,1,1,"The head on its tail contains a small brain. It can instinctively fight even while facing backward."
245,204,Pineco,Tannza,クヌギダマ (Kunugidama),2,0,0,0,Bagworm Pokémon,1,Bug,,0.6,7.2,2,Sturdy,,Overcoat,290,50,65,90,35,35,15,190,70,58,Medium Fast,1,Bug,,50.0,20,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1,"It looks just like a pinecone. Its shell protects it from bird Pokémon that peck it by mistake."
246,205,Forretress,Forstellka,フォレトス (Foretos),2,0,0,0,Bagworm Pokémon,2,Bug,Steel,1.2,125.8,2,Sturdy,,Overcoat,465,75,90,140,60,60,40,75,70,163,Medium Fast,1,Bug,,50.0,20,0.5,4,1,1,0.25,0.5,1,0,1,1,0.5,0.5,1,1,0.5,1,0.5,0.5,"It is encased in a steel shell. Its peering eyes are all that can be seen of its mysterious innards."
247,206,Dunsparce,Dummisel,ノコッチ (Nokocchi),2,0,0,0,Land Snake Pokémon,1,Normal,,1.5,14.0,3,Serene Grace,Run Away,Rattled,415,100,70,70,65,65,45,190,70,145,Medium Fast,1,Field,,50.0,20,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,"It digs into the ground with its tail and makes a mazelike nest. It can fly just a little."
248,207,Gligar,Skorgla,グライガー (Gliger),2,0,0,0,FlyScorpion Pokémon,2,Ground,Flying,1.1,64.8,3,Hyper Cutter,Sand Veil,Immunity,430,65,75,105,35,65,85,60,70,86,Medium Slow,1,Bug,,50.0,20,1,1,2,0,1,4,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,"It glides as if sliding. It startles foes by clamping on to their faces, then jabs with its poison stinger."
249,208,Steelix,Stahlos,ハガネール (Haganeil),2,0,0,0,Iron Snake Pokémon,2,Steel,Ground,9.2,400.0,3,Rock Head,Sturdy,Sheer Force,510,75,85,200,55,65,30,25,70,179,Medium Fast,1,Mineral,,50.0,25,0.5,2,2,0,1,1,2,0,2,0.5,0.5,0.5,0.25,1,0.5,1,0.5,0.5,"It is thought its body transformed as a result of iron accumulating internally from swallowing soil."
251,209,Snubbull,Snubbull,ブルー (Bulu),2,0,0,0,Fairy Pokémon,1,Fairy,,0.6,7.8,3,Intimidate,Run Away,Rattled,300,60,80,50,40,40,30,190,70,60,Fast,2,Fairy,Field,25.0,20,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1,"Small Pokémon flee from its scary face. It is, however, considered by women to be cute."
252,210,Granbull,Granbull,グランブル (Granbulu),2,0,0,0,Fairy Pokémon,1,Fairy,,1.4,48.7,3,Intimidate,Quick Feet,Rattled,450,90,120,75,60,60,45,75,70,158,Fast,2,Fairy,Field,25.0,20,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1,"It is timid in spite of its looks. If it becomes enraged, however, it will strike with its huge fangs."
253,211,Qwilfish,Baldorfish,ハリーセン (Harysen),2,0,0,0,Balloon Pokémon,2,Water,Poison,0.5,3.9,3,Poison Point,Swift Swim,Intimidate,440,65,95,85,55,55,85,45,70,88,Medium Fast,1,Water 2,,50.0,20,1,0.5,0.5,2,1,0.5,0.5,0.5,2,1,2,0.5,1,1,1,1,0.5,0.5,"It shoots the poison spines on its body in all directions. Its round form makes it a poor swimmer."
254,212,Scizor,Scherox,ハッサム (Hassam),2,0,0,0,Pincer Pokémon,2,Bug,Steel,1.8,118.0,3,Swarm,Technician,Light Metal,500,70,130,100,55,80,65,25,70,175,Medium Fast,1,Bug,,50.0,25,0.5,4,1,1,0.25,0.5,1,0,1,1,0.5,0.5,1,1,0.5,1,0.5,0.5,"It raises its pincers with eyelike markings for intimidation. It also swings them down dangerously."
256,213,Shuckle,Pottrott,ツボツボ (Tsubotsubo),2,0,0,0,Mold Pokémon,2,Bug,Rock,0.6,20.5,3,Sturdy,Gluttony,Contrary,505,20,10,230,10,230,5,190,70,177,Medium Slow,1,Bug,,50.0,20,0.5,1,2,1,1,1,1,0.5,1,1,1,1,2,1,1,1,2,1,"It stores berries in its shell. The berries eventually ferment to become delicious juices."
257,214,Heracross,Skaraborn,ヘラクロス (Heracros),2,0,0,0,Single Horn Pokémon,2,Bug,Fighting,1.5,54.0,3,Swarm,Guts,Moxie,500,80,125,75,40,95,85,45,70,175,Slow,1,Bug,,50.0,25,1,2,1,1,0.5,1,0.5,1,0.5,4,2,0.5,1,1,1,0.5,1,2,"It loves sweet honey. To keep all the honey to itself, it hurls rivals away with its prized horn."
259,215,Sneasel,Sniebel,ニューラ (Nyula),2,0,0,0,Sharp Claw Pokémon,2,Dark,Ice,0.9,28.0,3,Inner Focus,Keen Eye,Pickpocket,430,55,95,55,35,75,115,60,35,86,Medium Slow,1,Field,,50.0,20,1,2,1,1,1,0.5,4,1,1,1,0,2,2,0.5,1,0.5,2,2,"A smart and sneaky Pokémon. A pair may work together to steal eggs by having one lure the parents away."
260,216,Teddiursa,Teddiursa,ヒメグマ (Himeguma),2,0,0,0,Little Bear Pokémon,1,Normal,,0.6,8.8,3,Pickup,Quick Feet,Honey Gather,330,60,80,50,50,50,40,120,70,66,Medium Fast,1,Field,,50.0,20,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,"It lets honey soak into its paws so it can lick them all the time. Every set of paws tastes unique."
261,217,Ursaring,Ursaring,リングマ (Ringuma),2,0,0,0,Hibernator Pokémon,1,Normal,,1.8,125.8,3,Guts,Quick Feet,Unnerve,500,90,130,75,75,75,55,60,70,175,Medium Fast,1,Field,,50.0,20,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,"In its territory, it leaves scratches on trees that bear delicious berries or fruits."
262,218,Slugma,Schneckmag,マグマッグ (Magmag),2,0,0,0,Lava Pokémon,1,Fire,,0.7,35.0,3,Magma Armor,Flame Body,Weak Armor,250,40,40,40,70,40,20,190,70,50,Medium Fast,1,Amorphous,,50.0,20,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,"Its body is made of magma. If it doesn’t keep moving, its body will cool and harden."
263,219,Magcargo,Magcargo,マグカルゴ (Magcargot),2,0,0,0,Lava Pokémon,2,Fire,Rock,0.8,55.0,3,Magma Armor,Flame Body,Weak Armor,430,60,50,120,90,80,30,75,70,151,Medium Fast,1,Amorphous,,50.0,20,0.5,0.25,4,1,1,0.5,2,0.5,4,0.5,1,0.5,2,1,1,1,1,0.5,"Its body temperature is roughly 18,000 degrees F. Flames spout from gaps in its hardened shell."
264,220,Swinub,Quiekel,ウリムー (Urimoo),2,0,0,0,Pig Pokémon,2,Ice,Ground,0.4,6.5,3,Oblivious,Snow Cloak,Thick Fat,250,50,50,40,30,30,50,225,70,50,Slow,1,Field,,50.0,20,1,2,2,0,2,1,2,0.5,1,1,1,1,1,1,1,1,2,1,"It has a very sensitive nose. It can locate mushrooms, berries, and even hot springs buried under ice."
265,221,Piloswine,Keifel,イノムー (Inomoo),2,0,0,0,Swine Pokémon,2,Ice,Ground,1.1,55.8,3,Oblivious,Snow Cloak,Thick Fat,450,100,100,80,60,60,50,75,70,158,Slow,1,Field,,50.0,20,1,2,2,0,2,1,2,0.5,1,1,1,1,1,1,1,1,2,1,"Covered by a shaggy coat, it is strong against the cold. Its tusks of ice thicken when it snows."
266,222,Corsola,Corasonn,サニーゴ (Sunnygo),2,0,0,0,Coral Pokémon,2,Water,Rock,0.6,5.0,3,Hustle,Natural Cure,Regenerator,410,65,55,95,65,95,35,60.0,70.0,144.0,Fast,2,Water 1,Water 3,25.0,20,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,1,"Many live in the clean seas of the south. They apparently can’t live in polluted waters."
268,223,Remoraid,Remoraid,テッポウオ (Teppouo),2,0,0,0,Jet Pokémon,1,Water,,0.6,12.0,3,Hustle,Sniper,Moody,300,35,65,35,65,35,65,190,70,60,Medium Fast,2,Water 1,Water 2,50.0,20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,"It forcefully squirts water. The water jet never misses prey even if the Remoraid is deep in the sea."
269,224,Octillery,Octillery,オクタン (Okutank),2,0,0,0,Jet Pokémon,1,Water,,0.9,28.5,3,Suction Cups,Sniper,Moody,480,75,105,75,105,75,45,75,70,168,Medium Fast,2,Water 1,Water 2,50.0,20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,"It loves to lurk inside holes in rocks. It sometimes sprays ink on prey by sticking out only its mouth."
270,225,Delibird,Botogel,デリバード (Delibird),2,0,0,0,Delivery Pokémon,2,Ice,Flying,0.9,16.0,3,Vital Spirit,Hustle,Insomnia,330,45,55,45,65,45,75,45,70,116,Fast,2,Field,Water 1,50.0,20,1,2,1,2,0.5,1,1,1,0,1,1,0.5,4,1,1,1,2,1,"It carries food rolled up in its tail. It has the habit of sharing food with people lost in mountains."
271,226,Mantine,Mantax,マンタイン (Mantain),2,0,0,0,Kite Pokémon,2,Water,Flying,2.1,220.0,3,Swift Swim,Water Absorb,Water Veil,485,85,40,70,80,140,70,25,70,170,Slow,1,Water 1,,50.0,25,1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1,"While elegantly swimming in the sea, it ignores Remoraid that cling to its fins seeking food scraps."
272,227,Skarmory,Panzaeron,エアームド (Airmd),2,0,0,0,Armor Bird Pokémon,2,Steel,Flying,1.7,50.5,3,Keen Eye,Sturdy,Weak Armor,465,65,80,140,40,70,70,25,70,163,Slow,1,Flying,,50.0,25,0.5,2,1,2,0.25,1,1,0,0,0.5,0.5,0.25,1,1,0.5,1,0.5,0.5,"Despite being clad entirely in iron-hard armor, it flies at speeds over 180 mph."
273,228,Houndour,Hunduster,デルビル (Delvil),2,0,0,0,Dark Pokémon,2,Dark,Fire,0.6,10.8,3,Early Bird,Flash Fire,Unnerve,330,45,60,30,80,50,65,120,35,66,Slow,1,Field,,50.0,20,1,0.5,2,1,0.5,0.5,2,1,2,1,0,1,2,0.5,1,0.5,0.5,1,"It is smart enough to hunt in packs. It uses a variety of cries for communicating with others."
274,229,Houndoom,Hundemon,ヘルガー (Hellgar),2,0,0,0,Dark Pokémon,2,Dark,Fire,1.4,35.0,3,Early Bird,Flash Fire,Unnerve,500,75,90,50,110,80,95,45,35,175,Slow,1,Field,,50.0,20,1,0.5,2,1,0.5,0.5,2,1,2,1,0,1,2,0.5,1,0.5,0.5,1,"The flames it breathes when angry contain toxins. If they cause a burn, it will hurt forever."
276,230,Kingdra,Seedraking,キングドラ (Kingdra),2,0,0,0,Dragon Pokémon,2,Water,Dragon,1.8,152.0,3,Swift Swim,Sniper,Damp,540,75,95,95,95,95,85,45,70,243,Medium Fast,2,Dragon,Water 1,50.0,20,1,0.25,0.25,1,1,1,1,1,1,1,1,1,1,1,2,1,0.5,2,"It lives in caves on the seafloor and creates giant whirlpools every time it moves."
277,231,Phanpy,Phanpy,ゴマゾウ (Gomazou),2,0,0,0,Long Nose Pokémon,1,Ground,,0.5,33.5,2,Pickup,,Sand Veil,330,90,60,60,40,40,40,120,70,66,Medium Fast,1,Field,,50.0,20,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,"It is strong despite its compact size. It can easily pick up and carry an adult human on its back."
278,232,Donphan,Donphan,ドンファン (Donfan),2,0,0,0,Armor Pokémon,1,Ground,,1.1,120.0,2,Sturdy,,Sand Veil,500,90,120,120,60,60,50,60,70,175,Medium Fast,1,Field,,50.0,20,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,"It attacks by curling up, then rolling into its foe. It can blow apart a house in one hit."
279,233,Porygon2,Porygon2,ポリゴン２ (Porygon2),2,0,0,0,Virtual Pokémon,1,Normal,,0.6,32.5,3,Trace,Download,Analytic,515,85,80,90,105,95,60,45,70,180,Medium Fast,1,Mineral,,,20,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,"It was upgraded to enable the exploration of other planets. However, it failed to measure up."
280,234,Stantler,Damhirplex,オドシシ (Odoshishi),2,0,0,0,Big Horn Pokémon,1,Normal,,1.4,71.2,3,Intimidate,Frisk,Sap Sipper,465,73,95,62,85,65,85,45,70,163,Slow,1,Field,,50.0,20,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,"Staring at its antlers creates an odd sensation as if one were being drawn into their centers."
281,235,Smeargle,Farbeagle,ドーブル (Doble),2,0,0,0,Painter Pokémon,1,Normal,,1.2,58.0,3,Own Tempo,Technician,Moody,250,55,20,35,20,45,75,45,70,88,Fast,1,Field,,50.0,20,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,"It marks its territory by using its tail like a paintbrush. There are more than 5,000 different marks."
282,236,Tyrogue,Rabauz,バルキー (Balkie),2,0,0,0,Scuffle Pokémon,1,Fighting,,0.7,21.0,3,Guts,Steadfast,Vital Spirit,210,35,35,35,35,35,35,75,70,42,Medium Fast,1,Undiscovered,,100.0,25,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,"It is famous for its eagerness to fight and always nurses injuries from challenging larger foes."
283,237,Hitmontop,Kapoera,カポエラー (Kapoerer),2,0,0,0,Handstand Pokémon,1,Fighting,,1.4,48.0,3,Intimidate,Technician,Steadfast,455,50,95,95,35,110,70,45,70,159,Medium Fast,1,Human-Like,,100.0,25,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,"It fights while spinning like a top. The centrifugal force boosts its destructive power by ten."
